Name,Number,Full_Name,Number_of_GenEd,Gen_Ed_1,Gen_Ed_2
AAAD,385,Emancipation in the New World,0,,
AAAD,130,Introduction to African American and Diaspora Studies,1,FC-GLOBAL or FC-PAST,
AAAD,101,Introduction to Africa,1,FC-GLOBAL or FC-POWER,
AAAD,231,African American History since 1865,1,FC-PAST or FC-POWER,
AAAD,395,Undergraduate Research Seminar,0,,
AAAD,316,Public Policy and Development in Africa,0,,
AAAD,290,"Topics in African, African American, and Diaspora Studies",0,,
AAAD,396,Independent Studies,0,,
AAAD,485,Transnational Black Feminist Thought and Practice,1,FC-POWER,
AAAD,201,Introduction to African Literature,1,FC-KNOWING,
AAAD,211,African Art and Culture,0,,
AAAD,330,20th-Century African American Art,1,FC-AESTH or FC-KNOWING,
AAAD,240,African American Politics,1,FC-PAST,
AAAD,200,Gender and Sexuality in Africa,1,FC-GLOBAL or FC-KNOWING,
AAAD,258,The Civil Rights Movement,1,FC-PAST or FC-POWER,
AAAD,232,Black Women in America,1,FC-PAST or FC-POWER,
AAAD,257,Black Nationalism in the United States,1,FC-PAST or FC-POWER,
AAAD,260,Blacks in Latin America,0,,
AAAD,451,"Orality, Literacy, and Cultural Production: African Americans and Racial Modernity",0,,
AAAD,210,African Belief Systems: Religion and Philosophy in Sub-Saharan Africa,0,,
AAAD,212,Africa in the Global System,0,,
AAAD,480,Vernacular Traditions in African American Music,1,FC-AESTH or FC-POWER,
AAAD,259,Black Influences on Popular Culture,1,FC-AESTH or FC-PAST,
AAAD,430,African American Intellectual History,1,FC-KNOWING or FC-PAST,
AAAD,159,The History of the Black Church and Social Change,0,,
AAAD,250,The African American in Motion Pictures: 1900 to the Present,1,FC-AESTH or FC-PAST,
AAAD,350,The Harlem Renaissance,1,FC-AESTH or FC-PAST,
AAAD,386,"Comparative Studies in Culture, Gender, and Global Forces",0,,
AAAD,237,African American Art Survey,1,FC-AESTH or FC-POWER,
AAAD,315,Political Protest and Conflict in Africa,1,FC-GLOBAL,
AAAD,214,Africa through the Ethnographic Lens,1,FC-GLOBAL or FC-KNOWING,
AAAD,278,Black Caribbeans in the United States,1,FC-AESTH,
AAAD,50,First-Year Seminar: Defining Blackness,0,,
AAAD,51,First-Year Seminar: Masquerades of Blackness,1,FC-AESTH or FC-PAST,
AAAD,252,African Americans in the West,1,FC-PAST or FC-POWER,
AAAD,254,African Americans in North Carolina,1,FC-PAST or FC-POWER,
AAAD,284,Contemporary Perspectives on the African Diaspora in the Americas,1,FC-AESTH or FC-POWER,
AAAD,340,Diaspora Art and Cultural Politics,0,,
AAAD,318,Politics of Art in Africa,1,FC-AESTH or FC-GLOBAL,
AAAD,403,Human Rights: Theories and Practices in Africa,1,FC-GLOBAL,
AAAD,293,Individual Internships for Majors and Minors,0,,
AAAD,486,Africa in the American Imagination,0,,
AAAD,335,Structure of African American English,1,FC-KNOWING,
AAAD,419,African Studies Colloquium,0,,
AAAD,405,Contemporary African Art,1,FC-AESTH,
AAAD,89,First Year Seminar:  Special Topics,0,,
AAAD,319,Africa and Masks,0,,
AAAD,298,Blacks in British North America to 1833,1,FC-PAST or FC-POWER,
AAAD,460,"Race, Culture, and Politics in Brazil",1,FC-POWER,
AAAD,307,21st-Century Scramble for Africa,0,,
AAAD,356,The History of Hip-Hop Culture,1,FC-AESTH or FC-POWER,
AAAD,488,Human Rights and Democracy in African Diaspora Communities,1,FC-GLOBAL or FC-POWER,
AAAD,400,Contemporary African Politics,0,,
AAAD,421,Introduction to the Languages of Africa,1,FC-GLOBAL or FC-KNOWING,
AAAD,341,Law and Society,0,,
AAAD,401,"Poverty, Health, and Human Development in Low Income Countries",0,,
AAAD,414,Senegalese Society and Culture,0,,
AAAD,320,Music of Africa,1,FC-AESTH,
AAAD,300,Cultures of Health and Healing in Africa,1,FC-GLOBAL or FC-KNOWING,
AAAD,301,Contemporary China-Africa Relations,0,,
AAAD,332,Remembering Race and Slavery,1,FC-PAST or FC-POWER,
AAAD,387,HIV/AIDS in Africa and the Diaspora,1,FC-GLOBAL or FC-KNOWING,
